AED	Emirati Dirham	2008-04-30 00:00:00
AFA	Afghani	2008-04-30 00:00:00
ALL	Lek	2008-04-30 00:00:00
AMD	Armenian Dram	2008-04-30 00:00:00
ANG	Netherlands Antillian Guilder	2008-04-30 00:00:00
AOA	Kwanza	2008-04-30 00:00:00
ARS	Argentine Peso	2008-04-30 00:00:00
ATS	Shilling	2008-04-30 00:00:00
AUD	Australian Dollar	2008-04-30 00:00:00
AWG	Aruban Guilder	2008-04-30 00:00:00
AZM	Azerbaijanian Manat	2008-04-30 00:00:00
BBD	Barbados Dollar	2008-04-30 00:00:00
BDT	Taka	2008-04-30 00:00:00
BEF	Belgian Franc	2008-04-30 00:00:00
BGN	Bulgarian Lev	2008-04-30 00:00:00
BHD	Bahraini Dinar	2008-04-30 00:00:00
BND	Brunei Dollar	2008-04-30 00:00:00
BOB	Boliviano	2008-04-30 00:00:00
BRL	Brazilian Real	2008-04-30 00:00:00
BSD	Bahamian Dollar	2008-04-30 00:00:00
BTN	Ngultrum	2008-04-30 00:00:00
CAD	Canadian Dollar	2008-04-30 00:00:00
CHF	Swiss Franc	2008-04-30 00:00:00
CLP	Chilean Peso	2008-04-30 00:00:00
CNY	Yuan Renminbi	2008-04-30 00:00:00
COP	Colombian Peso	2008-04-30 00:00:00
CRC	Costa Rican Colon	2008-04-30 00:00:00
CYP	Cyprus Pound	2008-04-30 00:00:00
CZK	Czech Koruna	2008-04-30 00:00:00
DEM	Deutsche Mark	2008-04-30 00:00:00
DKK	Danish Krone	2008-04-30 00:00:00
DOP	Dominican Peso	2008-04-30 00:00:00
DZD	Algerian Dinar	2008-04-30 00:00:00
EEK	Kroon	2008-04-30 00:00:00
EGP	Egyptian Pound	2008-04-30 00:00:00
ESP	Spanish Peseta	2008-04-30 00:00:00
EUR	EURO	2008-04-30 00:00:00
FIM	Markka	2008-04-30 00:00:00
FJD	Fiji Dollar	2008-04-30 00:00:00
FRF	French Franc	2008-04-30 00:00:00
GBP	United Kingdom Pound	2008-04-30 00:00:00
GHC	Cedi	2008-04-30 00:00:00
GRD	Drachma	2008-04-30 00:00:00
GTQ	Quetzal	2008-04-30 00:00:00
HKD	Hong Kong Dollar	2008-04-30 00:00:00
HRK	Croatian Kuna	2008-04-30 00:00:00
HUF	Forint	2008-04-30 00:00:00
IDR	Rupiah	2008-04-30 00:00:00
IEP	Irish Pound	2008-04-30 00:00:00
ILS	New Israeli Shekel	2008-04-30 00:00:00
INR	Indian Rupee	2008-04-30 00:00:00
ISK	Iceland Krona	2008-04-30 00:00:00
ITL	Italian Lira	2008-04-30 00:00:00
JMD	Jamaican Dollar	2008-04-30 00:00:00
JOD	Jordanian Dinar	2008-04-30 00:00:00
JPY	Yen	2008-04-30 00:00:00
KES	Kenyan Shilling	2008-04-30 00:00:00
KRW	Won	2008-04-30 00:00:00
KWD	Kuwaiti Dinar	2008-04-30 00:00:00
LBP	Lebanese Pound	2008-04-30 00:00:00
LKR	Sri Lankan Rupee	2008-04-30 00:00:00
LTL	Lithuanian Litas	2008-04-30 00:00:00
LVL	Latvian Lats	2008-04-30 00:00:00
MAD	Moroccan Dirham	2008-04-30 00:00:00
MTL	Maltese Lira	2008-04-30 00:00:00
MUR	Mauritius Rupee	2008-04-30 00:00:00
MVR	Rufiyaa	2008-04-30 00:00:00
MXN	Mexican Peso	2008-04-30 00:00:00
MYR	Malaysian Ringgit	2008-04-30 00:00:00
NAD	Namibia Dollar	2008-04-30 00:00:00
NGN	Naira	2008-04-30 00:00:00
NLG	Netherlands Guilder	2008-04-30 00:00:00
NOK	Norwegian Krone	2008-04-30 00:00:00
NPR	Nepalese Rupee	2008-04-30 00:00:00
NZD	New Zealand Dollar	2008-04-30 00:00:00
OMR	Omani Rial	2008-04-30 00:00:00
PAB	Balboa	2008-04-30 00:00:00
PEN	Nuevo Sol	2008-04-30 00:00:00
PHP	Philippine Peso	2008-04-30 00:00:00
PKR	Pakistan Rupee	2008-04-30 00:00:00
PLN	Zloty	2008-04-30 00:00:00
PLZ	Polish Zloty(old)	2008-04-30 00:00:00
PTE	Portuguese Escudo	2008-04-30 00:00:00
PYG	Guarani	2008-04-30 00:00:00
ROL	Leu	2008-04-30 00:00:00
RUB	Russian Ruble	2008-04-30 00:00:00
RUR	Russian Ruble(old)	2008-04-30 00:00:00
SAR	Saudi Riyal	2008-04-30 00:00:00
SEK	Swedish Krona	2008-04-30 00:00:00
SGD	Singapore Dollar	2008-04-30 00:00:00
SIT	Tolar	2008-04-30 00:00:00
SKK	Slovak Koruna	2008-04-30 00:00:00
SVC	El Salvador Colon	2008-04-30 00:00:00
THB	Baht	2008-04-30 00:00:00
TND	Tunisian Dinar	2008-04-30 00:00:00
TRL	Turkish Lira	2008-04-30 00:00:00
TTD	Trinidad and Tobago Dollar	2008-04-30 00:00:00
TWD	New Taiwan Dollar	2008-04-30 00:00:00
USD	US Dollar	2008-04-30 00:00:00
UYU	Uruguayan Peso	2008-04-30 00:00:00
VEB	Bolivar	2008-04-30 00:00:00
VND	Dong	2008-04-30 00:00:00
XOF	CFA Franc BCEAO	2008-04-30 00:00:00
ZAR	Rand	2008-04-30 00:00:00
ZWD	Zimbabwe Dollar	2008-04-30 00:00:00
