1	Tool Crib	0	.00	2008-04-30 00:00:00
2	Sheet Metal Racks	0	.00	2008-04-30 00:00:00
3	Paint Shop	0	.00	2008-04-30 00:00:00
4	Paint Storage	0	.00	2008-04-30 00:00:00
5	Metal Storage	0	.00	2008-04-30 00:00:00
6	Miscellaneous Storage	0	.00	2008-04-30 00:00:00
7	Finished Goods Storage	0	.00	2008-04-30 00:00:00
10	Frame Forming	22.5	96.00	2008-04-30 00:00:00
20	Frame Welding	25	108.00	2008-04-30 00:00:00
30	Debur and Polish	14.5	120.00	2008-04-30 00:00:00
40	Paint	15.75	120.00	2008-04-30 00:00:00
45	Specialized Paint	18	80.00	2008-04-30 00:00:00
50	Subassembly	12.25	120.00	2008-04-30 00:00:00
60	Final Assembly	12.25	120.00	2008-04-30 00:00:00
