1	Brake assembly not as ordered	2008-04-30 00:00:00
2	Color incorrect	2008-04-30 00:00:00
3	Gouge in metal	2008-04-30 00:00:00
4	Drill pattern incorrect	2008-04-30 00:00:00
5	Drill size too large	2008-04-30 00:00:00
6	Drill size too small	2008-04-30 00:00:00
7	Handling damage	2008-04-30 00:00:00
8	Paint process failed	2008-04-30 00:00:00
9	Primer process failed	2008-04-30 00:00:00
10	Seat assembly not as ordered	2008-04-30 00:00:00
11	Stress test failed	2008-04-30 00:00:00
12	Thermoform temperature too high	2008-04-30 00:00:00
13	Thermoform temperature too low	2008-04-30 00:00:00
14	Trim length too long	2008-04-30 00:00:00
15	Trim length too short	2008-04-30 00:00:00
16	Wheel misaligned	2008-04-30 00:00:00
